model,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_macro_f1_mean,test_accuracy,test_balanced_accuracy,test_macro_f1,test_excluded_recall,test_mobile_only_recall,test_banked_recall
Gradient Boosting,0.6811,0.5575,0.5861,0.6883,0.5595,0.5865,0.2901,0.8787,0.5096
Random Forest (balanced),0.6701,0.556,0.5824,0.6705,0.5538,0.58,0.3344,0.8496,0.4773
Random Forest,0.6681,0.5545,0.5802,0.6695,0.553,0.5792,0.3344,0.8483,0.4763
Logistic Regression,0.6615,0.5319,0.558,0.6703,0.5337,0.5579,0.2397,0.8701,0.4914
Logistic Regression (balanced),0.5638,0.6129,0.5533,0.5705,0.6116,0.5575,0.6336,0.4933,0.708
